treeID;easting;northing;heigth;creatorID;specID;dbh;status
b00080;477841.516;5632234.5;276.409;team5;BUR;16.5521140815571;RTK Float
b00821;477841.802;5632236.652;273.791;team5;BUR;15.9154943091895;RTK Float
r00715;477844.604;5632238.904;273.954;team5;BUR;33;RTK Float
b00081;477847.413;5632239.557;274.421;team5;EIT;57.9323992854499;RTK Float
b00082;477848.432;5632244.901;274.44;team5;BUR;20.0535228295788;RTK Float
b00083;477856.566;5632245.232;276.593;team5;EIT;58.2507091716337;RTK Float
b00822;477849.378;5632241.419;277.965;team5;BUR;21.9633821466816;RTK Float
b00084;477848.742;5632235.608;275.96;team5;EIT;52.5211312203255;RTK Float
b00085;477855.242;5632234.219;275.557;team5;BUR;31.8309886183791;RTK Float
b00086;477857.084;5632234.862;269.501;team5;BUR;59.8422586025527;RTK Float
b00087;477859.182;5632226.405;278.179;team5;BUR;14.9605646506382;RTK Float
b00088;477860.218;5632223.99;276.291;team5;BUR;26.4197205532546;RTK Float
b00089;477857.491;5632223.238;276.036;team5;EIT;74.1662034808232;RTK Float
b00090;477856.682;5632222.947;275.718;team5;BUR;12.4140855611678;RTK Float
b00091;477861.562;5632220.201;273.117;team5;BUR;14.6422547644544;RTK Float
b00092;477863.793;5632218.283;275.069;team5;EIT;50.9295817894065;RTK Float
b00093;477862.784;5632215.756;274.138;team5;BUR;14.3239448782706;RTK Float
r00967;477859.755;5632214.757;273.491;team5;BUR;16.8704239677409;RTK Float
r00971;477858.59;5632218.659;276.49;team5;BUR;19.0985931710274;RTK Float
r00964;477857.27;5632210.033;275.934;team5;EIT;48.70141258612;RTK Float
r00962;477855.128;5632210.331;275.782;team5;BUR;21.9633821466816;RTK Float
b00094;477847.43;5632221.861;275.916;team5;EIT;45.2000038380983;RTK Float
b00095;477844.442;5632224.701;273.275;team5;BUR;20.0535228295788;RTK Float
b00096;477844.054;5632223.764;273.117;team5;EIT;43.2901445209955;RTK Float
b00097;477844.538;5632229.662;278.82;team5;BUR;27.0563403256222;RTK Float
b00098;477844.112;5632232.488;278.338;team5;BUR;17.1887338539247;RTK Float
b00099;477835.454;5632231.915;274.039;team5;BUR;22.2816920328653;RTK Float
b00100;477835.251;5632230.212;274.578;team5;BUR;11.1408460164327;RTK Float
b00101;477832.286;5632232.111;274.001;team5;EIT;48.70141258612;RTK Float
b00102;477830.437;5632236.079;274.642;team5;BUR;20.6901426019464;RTK Float
b00103;477829.361;5632230.77;274.345;team5;BUR;17.5070437401085;RTK Float
b00104;477826.626;5632225.678;272.48;team5;EIT;46.4732433828334;RTK Float
b00105;477832.466;5632222.154;272.37;team5;EIT;50.9295817894065;RTK Float
b00106;477834.874;5632223.186;272.454;team5;BUR;27.0563403256222;RTK Float
b00107;477839.408;5632217.542;274.464;team5;BUR;14.9605646506382;RTK Float
b00108;477839.952;5632217.202;271.044;team5;BUR;40.7436654315252;RTK Float
b00109;477839.028;5632213.665;270.319;team5;EIT;46.4732433828334;RTK Float
b00110;477836.45;5632212.811;271.642;team5;BUR;22.6000019190491;RTK Float
b00111;477837.759;5632211.516;271.55;team5;BUR;20.6901426019464;RTK Float
b00112;477840.032;5632205.953;271.906;team5;BUR;42.9718346348117;RTK Float
b00113;477853.65;5632198.61;274.609;team5;BUR;29.2845095289087;RTK Float
b00114;477855.362;5632198.936;274.757;team5;EIT;62.388737692023;RTK Float
b00115;477843.946;5632195.582;274.258;team5;EIT;54.749300423612;RTK Float
b00116;477843.275;5632198.442;271.696;team5;BUR;39.7887357729738;RTK Float
b00117;477841.88;5632200.075;271.658;team5;BUR;14.9605646506382;RTK Float
b00118;477840.276;5632202.089;271.616;team5;EIT;47.7464829275686;RTK Float
b00119;477840.833;5632199.767;278.02;team5;BUR;35.014087480217;RTK Float
r00690;477832.365;5632244.998;271.303;team3;EIT;55;RTK Float
r00712;477827.848;5632244.358;271.09;team3;BUR;34;RTK Float
b00361;477824.843;5632242.374;271.041;team3;EIT;42.3352148624442;RTK Float
b00360;477833.386;5632252.952;274.112;team3;EIT;50.9295817894065;RTK Float
b00362;477840.759;5632251.904;276.692;team3;EIT;49.0197224723038;RTK Float
b00820;477819.284;5632270.229;277.134;team3;BUR;37;RTK Float
b00363;477813.071;5632270.405;275.173;team3;BUR;20.0535228295788;RTK Float
b00364;477811.897;5632268.458;275.38;team3;EIT;39.7887357729738;RTK Float
